category,question,expected_terms,match_rule,hit@4,mrr,first_hit_rank,coverage_at_first_hit,matched_terms_at_first_hit,missing_terms,top_sources
Pilier 1 - Provisions techniques,Que dit l'Article 77 sur le Best Estimate ?,"['meilleure estimation', 'flux de trésorerie']",term coverage >= 50%,True,1.0,1.0,1.0,"['meilleure estimation', 'flux de trésorerie']",[],"[1] CELEX_32009L0138_FR_TXT.pdf, page 45, Article 77, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 47, Article 86, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] ACPR_Modalites_Calcul_Ratios_Prudentiels_SolvabiliteII_2025_FR.pdf, page 16, 2. Valorisation du bilan prudentiel"
Pilier 1 - Provisions techniques,Comment se calcule la Risk Margin ?,"['marge de risque', 'coût du capital']",term coverage >= 50%,False,0.0,,0.0,[],"['marge de risque', 'coût du capital']","[1] CELEX_32009L0138_FR_TXT.pdf, page 125, ANNEXE IV, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] EIOPA_Guidelines_on_Valuation_of_Technical_Provisions.pdf, page 20, Guideline 61, temporalité: Orientation ou Q&A EIOPA; clarification de niveau 3. Vérifier la date de publication et les éventuelles mises à jour sur la page source.; [3] EIOPA_Guidelines_on_Valuation_of_Technical_Provisions.pdf, page 23, Guideline 63, temporalité: Orientation ou Q&A EIOPA; clarification de niveau 3. Vérifier la date de publication et les éventuelles mises à jour sur la page source."
Pilier 1 - Provisions techniques,Qu'est-ce que la segmentation des engagements selon l'Article 80 ?,"['segmentation', ""ligne d'activité""]",term coverage >= 50%,True,1.0,1.0,1.0,"['segmentation', ""ligne d'activité""]",[],"[1] CELEX_32009L0138_FR_TXT.pdf, page 46, Article 80, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 20, Article 7, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] CELEX_32009L0138_FR_TXT.pdf, page 65, Article 147, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 1 - Capital,Définition du SCR selon l'Article 101 ?,"['capital de solvabilité requis', 'article 101']",term coverage >= 50%,True,1.0,1.0,0.5,['capital de solvabilité requis'],['article 101'],"[1] CELEX_32009L0138_FR_TXT.pdf, page 124, ANNEXE IV, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 17, ANNEXE IV, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] CELEX_32009L0138_FR_TXT.pdf, page 51, Article 101, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 1 - Capital,Comment se calcule le MCR ?,"['minimum de capital', 'mcr']",term coverage >= 50%,True,1.0,1.0,0.5,['mcr'],['minimum de capital'],"[1] Commission_Delegated_Regulation_EU_2015_35_EIOPA_rulebook_export.pdf, page 392, TITLE I, temporalité: Orientation ou Q&A EIOPA; clarification de niveau 3. Vérifier la date de publication et les éventuelles mises à jour sur la page source.; [2] Commission_Delegated_Regulation_EU_2015_35_EIOPA_rulebook_export.pdf, page 393, TITLE I, temporalité: Orientation ou Q&A EIOPA; clarification de niveau 3. Vérifier la date de publication et les éventuelles mises à jour sur la page source.; [3] CELEX_32009L0138_FR_TXT.pdf, page 70, Article 166, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 1 - Capital,Quels sont les modules de risque de la formule standard ?,"['module', 'formule standard']",term coverage >= 50%,True,1.0,1.0,1.0,"['module', 'formule standard']",[],"[1] CELEX_32009L0138_FR_TXT.pdf, page 57, Article 119, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 55, Article 110, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] CELEX_32009L0138_FR_TXT.pdf, page 17, ANNEXE IV, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 2 - Gouvernance,Quelles sont les exigences du système de gouvernance Article 41 ?,"['gouvernance', 'article 41']",term coverage >= 50%,True,1.0,1.0,1.0,"['gouvernance', 'article 41']",[],"[1] CELEX_32009L0138_FR_TXT.pdf, page 33, Article 41, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 136, Article 41, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] CELEX_32009L0138_FR_TXT.pdf, page 36, Article 50, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 2 - Gouvernance,Que prévoit l'Article 45 sur l'ORSA ?,"['orsa', 'article 45']",term coverage >= 50%,True,1.0,1.0,0.5,['article 45'],['orsa'],"[1] CELEX_32009L0138_FR_TXT.pdf, page 34, Article 45, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 35, section 4, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] CELEX_32009L0138_FR_TXT.pdf, page 57, Article 120, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Pilier 3 - Reporting,Que doit contenir le SFCR ?,"['sfcr', 'rapport']",term coverage >= 50%,True,1.0,1.0,0.5,['rapport'],['sfcr'],"[1] CELEX_32009L0138_FR_TXT.pdf, page 38, Article 55, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] ACPR_Notice_SolvabiliteII_SFCR_RSR_2025_FR.pdf, page 2, 2. Rapport sur la solvabilité et la situation financière (SFCR) ............................................................. 3; [3] CELEX_32009L0138_FR_TXT.pdf, page 84, CHAPITRE II, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires."
Investissements,Principe de la personne prudente Article 132 ?,"['personne prudente', 'article 132']",term coverage >= 50%,True,1.0,1.0,1.0,"['personne prudente', 'article 132']",[],"[1] CELEX_32009L0138_FR_TXT.pdf, page 60, Article 132, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [2] CELEX_32009L0138_FR_TXT.pdf, page 33, Article 42, version/date 2009/138/CE, temporalité: Directive 2009/138/CE Solvabilité II; cadre applicable depuis le 01/01/2016, tel que modifié notamment par Omnibus II et sous réserve des dispositions transitoires.; [3] EIOPA_Guidelines_System_of_Governance_FR.pdf, page 3, 1. Introduction, temporalité: Orientation ou Q&A EIOPA; clarification de niveau 3. Vérifier la date de publication et les éventuelles mises à jour sur la page source."
